order,family,feeding_guild,daylength,lat,lon,id...7,a_est_nls,a_se_nls,Tmin_est_nls,Tmin_se_nls,Tmax_est_nls,Tmax_se_nls,Topt_est,Topt_se_delta,a_est_boot,a_se_boot,Tmin_est_boot,Tmin_se_boot,Tmax_est_boot,Tmax_se_boot,starting_a,starting_Tmin,starting_Tmax,which_signif,id...26,n,family,,
Lepidoptera,Gelechiidae,borer,16,42.6391,2.98067,1,7.83E-05,2.17E-05,3.891281734,4.714917975,33.43635475,0.356288326,27.16822887,0.525189639,7.76E-05,1.49E-05,3.131117648,4.038866238,33.5118354,0.31637017,8.00E-05,4.5,33.5,"a,Tmax",1,40,Gelechiidae,,
Orthoptera,Pyrgomorphidae,chewer,16,36.67087,116.98538,2,2.55E-04,8.99E-05,19.88480805,2.06857001,35.3662411,0.466548803,31.21102523,0.493106294,2.48E-04,4.45E-05,19.71334463,1.052746109,35.47875756,0.237974004,2.50E-04,20,35.5,Tmax,10,15,Pyrgomorphidae,,OJO REVISAR LOS QUE TENGAN POCOS…
Diptera,Drosophilidae,borer,12,-29.84253,-53.76806,3,1.19E-04,1.72E-04,-5.590917741,39.31191916,30.11393851,0.484610854,23.5912902,3.065191001,1.47E-04,9.60E-05,-34.02353048,155.8100963,30.47613217,0.65678724,2.70E-04,10,30,Tmax,100,17,Drosophilidae,,
Lepidoptera,Noctuidae,chewer,NA,28.0079,-16.65571,4,2.97E-04,3.32E-05,5.069285369,1.45038225,28.22056042,0.133471629,23.14571631,0.18476164,2.96E-04,3.08E-05,4.8953569,1.420154305,28.24576035,0.134381348,2.70E-04,4,28.5,all,103,13,Noctuidae,,
Hemiptera,Aphididae,sucker,12,45.79883,126.5304,5,9.16E-05,1.39E-06,13.54246307,0.112928613,30.01223551,0.002751294,25.84480029,0.020212567,9.16E-05,6.74E-07,13.54249498,0.054294834,30.0122101,0.001364283,9.00E-05,13.5,30,all,104,26,Aphididae,,
Lepidoptera,Pyralidae,borer,16,24.72263,90.41868,6,1.16E-04,5.36E-05,17.1277488,3.127593996,38.71609179,2.486766172,33.27912752,1.655297494,1.09E-04,3.62E-05,16.08007378,3.535891736,41.49656744,16.10566943,1.10E-04,17,39,"Tmin,Tmax",105,15,Pyralidae,,
Acari,Tetranychidae,sucker,12,23.42497,120.52254,7,4.43E-04,2.38E-04,2.480844972,6.086613448,31.23857422,3.634755858,25.25175989,2.311449736,4.53E-04,1.78E-04,0.385042835,8.846462137,33.11991772,8.259804464,6.00E-04,5.5,29.5,Tmax,106,12,Tetranychidae,,
Hemiptera,Aphididae,sucker,14,31.31125,-92.44491,8,4.54E-05,4.49E-05,3.970467567,11.80963999,40.9422765,11.94274418,33.17613913,8.53227604,4.76E-05,2.07E-05,0.761032298,14.22066916,50.46921572,59.6971688,8.00E-05,10,36.5,Tmax,107,no,Aphididae,,
Hemiptera,Pentatomidae,sucker,16,43.17003,-107.56853,9,1.22E-04,1.12E-05,17.5270348,0.726617533,35.92073542,0.19895308,31.17465841,0.158164493,1.22E-04,7.05E-06,17.48241836,0.483204305,35.93516462,0.12931257,1.20E-04,17.5,36,all,109,24,Pentatomidae,,
Diptera,Tephritidae,borer,12,23.45598,85.25573,10,1.47E-04,1.52E-06,6.933409753,0.127911275,31.40611794,0.022093637,25.92525951,0.015304305,1.47E-04,7.34E-07,6.930435309,0.062253382,31.40654456,0.010627402,1.80E-04,9,31,all,11,10,Tephritidae,,
Acari,Tetranychidae,sucker,16,35.46669,139.4151,11,1.92E-04,1.02E-05,10.73768292,0.512375745,39.91080913,0.43622918,33.20948308,0.304391901,1.92E-04,6.54E-06,10.7275165,0.328260844,39.92629271,0.28238028,1.90E-04,10.5,40,all,110,24,Tetranychidae,,
Acari,Tetranychidae,sucker,16,33.48421,48.35383,12,2.21E-04,2.12E-05,11.53027933,0.908702934,38.92708899,0.661052096,32.54294083,0.45638889,2.20E-04,1.39E-05,11.4912816,0.593787549,38.96117172,0.441847052,2.20E-04,11.5,39,all,111,no,Tetranychidae,,
Lepidoptera,Plutellidae,chewer,NA,30.19798,71.4725,13,2.44E-04,2.26E-05,11.47962269,0.976409814,37.10543992,0.376087936,31.0922141,0.254678764,2.44E-04,1.42E-05,11.42665005,0.626177483,37.12931795,0.239539145,2.50E-04,11.5,37,all,112,30,Plutellidae,,
Diptera,Tephritidae,borer,14,23.97394,120.98202,14,1.87E-04,1.11E-06,10.09246392,0.057665846,40.80566223,0.055536599,33.83070805,0.039169902,1.87E-04,6.89E-07,10.09224084,0.036358204,40.80618275,0.034495348,2.00E-04,10.5,40,all,113,31,Tephritidae,,
Lepidoptera,Tineidae,borer,14,-23.55065,-46.63338,15,1.85E-04,1.46E-05,10.24780711,0.748396028,41.21152116,0.796706273,34.1747455,0.56747202,1.85E-04,9.39E-06,10.2230536,0.474930468,41.24392871,0.520495389,2.00E-04,11,40.5,all,114,8,Tineidae,,
Acari,Diptilomiopidae,sucker,16,33.48421,48.35383,16,1.95E-04,1.02E-05,10.71735402,0.511302643,39.73863268,0.416742406,33.0698892,0.289541511,1.95E-04,6.45E-06,10.69178312,0.321481354,39.75600405,0.268888187,1.90E-04,10.5,40,all,115,60,Diptilomiopidae,,
Acari,Tenuipalpidae,sucker,12,2.82085,-60.67196,17,1.67E-04,1.91E-05,12.24758233,1.431928872,38.20540542,0.244156291,32.0780587,0.233120449,1.67E-04,1.38E-05,12.1918034,1.043507179,38.22495043,0.17769405,1.80E-04,13,38,all,12,35,Tenuipalpidae,,
Hemiptera,Thaumastocoridae,sucker,12,-25.29254,-49.22435,18,8.72E-05,6.36E-06,-2.38140779,1.220560119,38.70548015,0.693855795,30.73512503,0.457029527,8.73E-05,3.25E-06,-2.385038574,0.623761203,38.70274299,0.354558137,1.20E-04,2,36,"a,Tmax",13,23,Thaumastocoridae,,
Acari,Tetranychidae,sucker,14,23.1302,113.25929,19,3.98E-04,8.57E-04,22.61024696,13.84626138,32.72673086,0.494827497,29.82277671,3.092232301,NA,NA,NA,NA,NA,NA,1.50E-04,12.5,33,Tmax,14,no,Tetranychidae,,
Lepidoptera,Tortricidae,borer,15,36,119,20,1.92E-04,1.81E-04,9.656194671,11.97878019,30.24672935,0.637883812,25.38974089,1.692523919,1.88E-04,1.00E-04,-0.464002422,46.22499282,30.66844309,1.019449269,1.70E-04,8.5,30.5,Tmax,15,no,Tortricidae,,
Hemiptera,Alydidae,sucker,16,35.93808,127.16437,21,2.34E-04,2.59E-05,14.93859221,0.756659497,34.97348373,0.46769608,29.96857659,0.32110126,2.34E-04,1.60E-05,14.90570344,0.469568359,34.98139876,0.304242477,2.30E-04,15,35,all,16,23,Alydidae,,
Hemiptera,Pentatomidae,sucker,16,30.40218,55.99418,22,3.10E-04,1.00E-04,19,1.583343228,30,1.79E-04,26.93525852,0.356705618,3.10E-04,0,19,0,30,0,3.10E-04,19,30,Tmax,17,60,Pentatomidae,,
Acari,Tenuipalpidae,sucker,12,19.18379,-96.21515,23,4.00E-05,2.57E-05,8.5,9.152463133,30,2.52E-04,25.02389612,1.317017763,4.00E-05,0,8.5,0,30,0,4.00E-05,8.5,30,Tmax,18,11,Tenuipalpidae,,
Hemiptera,Aphididae,sucker,12,5.44699,10.05331,24,2.93E-04,5.32E-05,18.39304184,1.008903614,32.87341426,0.401805405,28.99251161,0.291803429,2.93E-04,3.44E-05,18.3213512,0.668035479,32.92444442,0.282206753,2.90E-04,18.5,33,all,19,49,Aphididae,,
Lepidoptera,Noctuidae,borer,16,31.42206,73.09233,26,3.65E-05,7.27E-06,10.78575661,1.782257392,35.80068133,1.228329225,29.95592471,0.817459241,3.63E-05,4.64E-06,10.63788514,1.224526032,35.94088929,0.873157988,8.00E-05,4.5,33.5,all,2,16,Noctuidae,,
Lepidoptera,Noctuidae,chewer,14,39.92646,116.17955,28,8.00E-05,3.19E-05,13.5,3.931026455,31,1.92E-04,26.60886313,0.689809424,8.00E-05,0,13.5,0,31,0,8.00E-05,13.5,31,Tmax,20,50,Noctuidae,,
Thysanoptera,Thripidae,sucker,14,26.64999,106.62462,31,1.10E-04,1.85E-05,16,1.682687915,35.5,1.12E-04,30.56719499,0.301147407,1.10E-04,0,16,0,35.5,0,1.10E-04,16,35.5,all,21,46,Thripidae,,
Hemiptera,Tingidae,sucker,16,40.4167,-3.70358,32,3.00E-05,3.07E-05,6.5,14.24812029,43,9.880469516,35.11629262,6.482347289,3.00E-05,0,6.5,0,43,0,3.00E-05,6.5,43,Tmax,22,40,Tingidae,,
Hemiptera,Pentatomidae,sucker,12,-1.28325,36.81724,33,2.33E-04,1.35E-04,21.38395374,1.729268013,31.1023755,1.355899654,28.31748789,0.879159396,2.21E-04,6.65E-05,21.03536623,1.088946925,31.91173083,4.797137194,2.40E-04,21.5,31,Tmax,23,no,Pentatomidae,,
Lepidoptera,Pyralidae,chewer,14,29.22335,103.59661,34,1.50E-04,9.65E-05,3.5,10.0779935,30,3.09E-04,24.37706935,1.168318364,1.50E-04,0,3.5,0,30,0,1.50E-04,3.5,30,Tmax,24,19,Pyralidae,,
Lepidoptera,Pyralidae,chewer,14,19.54526,110.79322,35,4.13E-05,3.06E-05,-1.270957443,19.3993952,37.5283069,0.183803231,29.89819494,1.849296348,4.04E-05,1.99E-05,-46.88776507,379.7422521,37.78610366,0.479757877,5.00E-05,3,37.5,Tmax,26,12,Pyralidae,,
Lepidoptera,Gracillariidae,leafminer,14,37.3779,126.95432,36,7.96E-05,2.19E-05,12.30051252,1.871431618,35.43747108,2.266494519,29.89858238,1.567435062,7.87E-05,1.39E-05,12.08494443,1.25550998,35.84666612,1.755717787,8.00E-05,12.5,35.5,"Tmin,Tmax",28,45,Gracillariidae,,
Lepidoptera,Noctuidae,chewer,14,22.81931,108.36272,37,3.16E-04,3.48E-05,12.67769148,0.830667962,28.41018713,0.165919486,24.439882,0.174318832,3.16E-04,2.20E-05,12.64001403,0.531349932,28.41216461,0.110842865,8.00E-05,4.5,33.5,Tmax,3,23,Noctuidae,,
Diptera,Agromyzidae,leafminer,12,-12.06211,-77.03653,38,1.40E-04,3.59E-05,5.862256952,3.455007046,33.31687836,1.003787869,27.31021105,0.519598207,1.39E-04,2.26E-05,5.477689752,2.516183725,33.41268416,0.719091783,1.40E-04,6,33.5,Tmax,31,no,Agromyzidae,,
Lepidoptera,Gelechiidae,borer,12,-12.07617,-75.20632,39,1.37E-04,1.89E-05,16.36872941,1.329771201,38.95843302,0.507914332,33.33625391,0.316710625,1.37E-04,1.31E-05,16.30545529,0.937532224,38.97674322,0.36329949,1.30E-04,16,39,all,32,no,Gelechiidae,,
Lepidoptera,Plutellidae,chewer,12,-3.51239,38.25022,40,1.58E-04,7.60E-06,17.95011934,0.106311276,25.56321359,0.074559072,23.36512848,0.053899824,1.58E-04,3.75E-06,17.95041865,0.052811608,25.56376571,0.037580798,1.60E-04,18,25.5,all,33,50,Plutellidae,,
Lepidoptera,Noctuidae,chewer,16,36,119,41,2.61E-04,2.10E-05,18.9069119,0.423892413,30.05215397,0.032387448,26.95374417,0.095642595,2.61E-04,1.07E-05,18.89548607,0.219888404,30.05401806,0.016663017,2.70E-04,19,30,"Tmin,Tmax",34,33,Noctuidae,,
Thysanoptera,Thripidae,sucker,16,-37.8204,145.00252,43,5.50E-05,2.69E-05,12.91041919,5.609979078,37.90416168,1.594403406,31.94137015,1.003878909,5.36E-05,1.66E-05,10.99279559,9.882164614,38.48423132,2.357925144,6.00E-05,13.5,37.5,Tmax,35,35,Thripidae,,
Lepidoptera,Gelechiidae,leafminer,12,-20.75386,-42.88159,45,6.19E-05,1.14E-05,5.840897658,2.516531393,30.05800625,0.067171198,24.70878456,0.318686664,6.18E-05,7.35E-06,5.633046498,1.740281341,30.0668147,0.050503895,6.00E-05,5.5,30,"a,Tmax",36,no,Gelechiidae,,
Coleoptera,Curculionidae,chewer,12,26.545,117.84278,46,6.00E-05,4.45E-05,9,4.857509089,46,17.50617611,37.82154299,13.387025,6.00E-05,0,9,0,46,0,6.00E-05,9,46,none,37,no,Curculionidae,,
Lepidoptera,Xyloryctidae,leafminer,12,19.56889,109.40444,47,1.00E-04,8.54E-06,13.11821822,0.47255472,25.54710856,0.126476809,22.29626456,0.10562476,9.97E-05,5.50E-06,13.09537534,0.306587872,25.55506419,0.080690738,1.00E-04,13,25.5,all,38,8,Xyloryctidae,,
Lepidoptera,Crambidae,borer,14,37.1823,119.93251,48,5.27E-05,1.20E-05,3.848151272,3.177709662,28.07335316,0.103038125,22.87883157,0.375129849,5.21E-05,8.82E-06,3.378451098,2.582923275,28.13205492,0.050868941,5.00E-05,3,28,"a,Tmax",39,21,Crambidae,,
Acari,Tetranychidae,sucker,16,33.48421,48.35383,49,1.14E-04,7.94E-05,10.79476409,5.198168719,34.18541399,4.659117822,28.6780728,3.205079546,1.11E-04,3.69E-05,9.74951952,3.605492788,36.54026334,10.98790959,8.00E-05,4.5,33.5,none,4,no,Tetranychidae,,
Acari,Tetranychidae,sucker,12,22.61197,120.56687,50,1.76E-04,2.05E-05,9.075209785,0.967576854,33.31471145,0.705940425,27.73679511,0.500999374,1.76E-04,1.31E-05,9.029244819,0.617838339,33.3351827,0.462441503,1.70E-04,9,33.5,all,40,18,Tetranychidae,,
Lepidoptera,Pyralidae,borer,16,30.40218,55.99418,51,6.85E-05,3.20E-05,8.16439945,6.459941543,34.18537307,0.959156668,28.30234578,0.779791667,6.74E-05,1.93E-05,6.282863545,8.683847867,34.43293981,1.008768379,NA,NA,NA,all,41,32,Pyralidae,,
Hemiptera,Pseudococcidae,sucker,14,22.81931,108.36272,52,1.00E-04,1.50E-05,7.493892682,1.303502822,42.25620298,2.281563079,34.64522795,1.686594346,9.98E-05,9.51E-06,7.40259595,0.817777942,42.46752755,1.512888469,1.50E-04,10.5,37.5,all,43,10,Pseudococcidae,,
